Año,D F,Reportado?,Categorías IPCC 2006,CO2-Absorciones en Gg,CO2 -Emisiones en Gg,CH4-Emisiones en Gg,N2O-Emisiones en Gg,HFC-32-Emisiones en Gg,HFC-125-Emisiones en Gg,HFC-134a-Emisiones en Gg,HFC-143a-Emisiones en Gg,HFC-152a-Emisiones en Gg,HFC-227ea-Emisiones en Gg,PFCs-Emisiones en Gg,SF6-Emisiones en Gg,NOX-Precursores en Gg,CO-Precursores en Gg,COVDM-Precursores en Gg,SO2-Precursores en Gg,CO2-Absorciones en Gg de CO2eq,CO2-Emisiones en Gg de CO2eq,CH4-Emisiones en Gg de CO2eq,N2O-Emisiones en Gg de CO2eq,HFC-32-Emisiones en Gg de CO2eq,HFC-125-Emisiones en Gg de CO2eq,HFC-134a-Emisiones en Gg de CO2eq,HFC-143a-Emisiones en Gg de CO2eq,HFC-152a-Emisiones en Gg de CO2eq,HFC-227ea-Emisiones en Gg de CO2eq,PFCs-Emisiones en Gg de CO2eq,SF6-Emisiones en Gg de CO2eq,Absorciones Totales.Gg de CO2eq,Emisiones totales (ΣGEI)-Gg de CO2eq,Con todas las emisiones y absorciones-Gg de CO2eq
1990,X,SI,1A5bii   Móvil (componente del sector marítimo y fluvial),NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
1990,X,SI,1A5biii   Móvil (otros),NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
1990,F,SI,1.B   Emisiones fugitivas provenientes de la fabricación de combustible,NA,101.13,144.18,6.38E-01,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,"1,098.55",NE,NA,101.13,"3,027.68",197.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,326.51","3,326.51"
1990,F,SI,1.B.1   Combustibles sólidos,NA,1.07,52.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,1.07,"1,107.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,108.42","1,108.42"
1990,F,SI,1B1a   Minería carbonífera y manejo del carbón,NA,1.07,52.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,1.07,"1,107.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,108.42","1,108.42"
1990,F,SI,1B1ai   Minas subterráneas,NA,1.07,41.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,1.07,876.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,877.88,877.88
1990,D,SI,1B1ai1   Minería,NA,8.65E-01,32.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,8.65E-01,674.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675.33,675.33
1990,D,SI,1B1ai2   Emisiones posteriores a la minería,NA,2.02E-01,9.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,2.02E-01,202.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202.54,202.54
1990,X,SI,1B1ai3 Minas subterráneas abandonadas,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,F,SI,2.A - Industria de los minerales,NA,"2,829.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,"2,829.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,829.46","2,829.46"
